anio_tri,provincia,ingresos (en miles de pesos)
20163,Formosa,798565.4037163829
20164,Formosa,920717.1067006286
20171,Formosa,1069926.5187335922
20172,Formosa,1197914.435420159
20173,Formosa,1331949.6317586296
20174,Formosa,1479893.7087126838
20181,Formosa,1746951.0683399248
20182,Formosa,2611861.8264221773
20183,Formosa,2825280.276556876
20184,Formosa,3066669.662926249
20191,Formosa,3717129.732341323
20192,Formosa,3910806.520340438
20193,Formosa,4040702.347935151
20194,Formosa,4564242.694742594
20201,Formosa,5610650.068348222
20202,Formosa,6195697.723350868
20203,Formosa,6328127.027996121
20204,Formosa,6753703.756086747
20211,Formosa,7439871.686994681
20212,Formosa,7875488.940137691
20213,Formosa,9050418.347426066
20214,Formosa,9707939.948637443
20221,Formosa,12044843.389367571
20222,Formosa,16236687.441332111
20223,Formosa,18186435.49001902
20224,Formosa,12155458.912718508
20231,Formosa,15260129.586854508
20232,Formosa,17105340.58291573
20141,Jujuy,240921.34021974565
20142,Jujuy,268230.9375992666
20143,Jujuy,280089.842747822
20144,Jujuy,339375.60251461866
20151,Jujuy,420845.48229319387
20152,Jujuy,418142.52167757
20153,Jujuy,480472.8779988396
20154,Jujuy,505991.11376205646
20161,Jujuy,557123.328842382
20162,Jujuy,626931.1898719269
20163,Jujuy,685032.2682391172
20164,Jujuy,742984.5641990764
20171,Jujuy,868021.3862840969
20172,Jujuy,950258.2209794678
20173,Jujuy,999318.6963699495
20174,Jujuy,1118920.8794873748
20181,Jujuy,1334752.30870364
20182,Jujuy,1470544.2866269357
20183,Jujuy,1571154.7474551406
20184,Jujuy,3393164.9240459236
20191,Jujuy,4110562.6732583973
20192,Jujuy,4046789.353994758
20193,Jujuy,4206217.634759498
20194,Jujuy,4807360.050229707
20201,Jujuy,6125742.265039447
20202,Jujuy,6738486.050158754
20203,Jujuy,7578959.882236839
20204,Jujuy,7858997.191719099
20211,Jujuy,8942817.824442657
20212,Jujuy,9416181.11178851
20213,Jujuy,10496006.101847209
20214,Jujuy,11343540.606473517
20221,Jujuy,14146618.7251131
20222,Jujuy,15158620.373168811
20223,Jujuy,17314309.62212573
20224,Jujuy,14139484.899324672
20231,Jujuy,15349201.639164276
20232,Jujuy,17422633.449463833
20141,La Pampa,340545.2632171145
20142,La Pampa,383136.54056858533
20143,La Pampa,457237.0810704076
20144,La Pampa,477268.3051360392
20151,La Pampa,637856.3904285257
20152,La Pampa,628313.8955392069
20153,La Pampa,703889.5125141279
20154,La Pampa,744504.5611136467
20161,La Pampa,809166.1221850383
20162,La Pampa,930621.9696341438
20163,La Pampa,1005498.6090710638
20164,La Pampa,1111385.46830953
20171,La Pampa,1284968.8292157196
20172,La Pampa,1448017.0463872014
20173,La Pampa,1639985.1361069293
20174,La Pampa,1879523.3703877088
20181,La Pampa,2226944.976745256
20182,La Pampa,2397085.3771178722
20183,La Pampa,2605588.851217362
20184,La Pampa,2881209.871359112
20191,La Pampa,3635578.0899771843
20192,La Pampa,3767640.362063464
20193,La Pampa,3951737.975532133
20194,La Pampa,4380827.617970263
20201,La Pampa,5346787.658464258
20202,La Pampa,5756743.55771888
20203,La Pampa,5976171.693427119
20204,La Pampa,6462594.507537722
20211,La Pampa,7067847.336447079
20212,La Pampa,7396140.393465489
20213,La Pampa,8539768.814989626
20214,La Pampa,9596680.652616754
20221,La Pampa,12006880.834932908
20222,La Pampa,13219583.341879552
20223,La Pampa,15262407.789131122
20224,La Pampa,11910631.64155033
20231,La Pampa,13128924.044302108
20232,La Pampa,15013230.248419713
20141,La Rioja,173806.04055869914
20142,La Rioja,192964.38586772225
20143,La Rioja,205349.38849351482
20144,La Rioja,240263.05638850713
20151,La Rioja,291173.30880899006
20152,La Rioja,283774.1728568061
20153,La Rioja,316026.6075042755
20154,La Rioja,332979.019603422
20161,La Rioja,357253.8603226823
20162,La Rioja,394370.74830038793
20163,La Rioja,421892.81114564574
20164,La Rioja,440452.9802966481
20171,La Rioja,504000.908713672
20172,La Rioja,560617.6530250083
20173,La Rioja,1852456.898170071
20174,La Rioja,2069970.6434835873
20181,La Rioja,2422545.5303194188
20182,La Rioja,2610139.9141710186
20183,La Rioja,2795324.6300975736
20184,La Rioja,2995225.5279989876
20191,La Rioja,3625588.411152259
20192,La Rioja,3611936.470138886
20193,La Rioja,3711488.806034582
20194,La Rioja,4073707.794078627
20201,La Rioja,4962823.10109706
20202,La Rioja,5720759.197039163
20203,La Rioja,5734076.2980935
20204,La Rioja,6009256.184873336
20211,La Rioja,6531907.151303607
20212,La Rioja,10525169.832938066
20213,La Rioja,11878447.913026324
20214,La Rioja,12667497.27985571
20221,La Rioja,15656497.028945362
